id,document_id,document_title,category,subcategory,document,question,answer,answer_type,difficulty,language,keywords,context_length,answer_length,retrieval_score,source_type,domain,created_date,source,notes
1,DOC_000001,AI Concept,AI,General,AI document,Question 1,Answer 1,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-02,Synthetic,Sample
2,DOC_000002,AI Concept,AI,General,AI document,Question 2,Answer 2,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-03,Synthetic,Sample
3,DOC_000003,AI Concept,AI,General,AI document,Question 3,Answer 3,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-04,Synthetic,Sample
4,DOC_000004,AI Concept,AI,General,AI document,Question 4,Answer 4,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-05,Synthetic,Sample
5,DOC_000005,AI Concept,AI,General,AI document,Question 5,Answer 5,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-06,Synthetic,Sample
6,DOC_000006,AI Concept,AI,General,AI document,Question 6,Answer 6,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-07,Synthetic,Sample
7,DOC_000007,AI Concept,AI,General,AI document,Question 7,Answer 7,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-08,Synthetic,Sample
8,DOC_000008,AI Concept,AI,General,AI document,Question 8,Answer 8,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-09,Synthetic,Sample
9,DOC_000009,AI Concept,AI,General,AI document,Question 9,Answer 9,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-10,Synthetic,Sample
10,DOC_000010,AI Concept,AI,General,AI document,Question 10,Answer 10,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-11,Synthetic,Sample
11,DOC_000011,AI Concept,AI,General,AI document,Question 11,Answer 11,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-12,Synthetic,Sample
12,DOC_000012,AI Concept,AI,General,AI document,Question 12,Answer 12,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-13,Synthetic,Sample
13,DOC_000013,AI Concept,AI,General,AI document,Question 13,Answer 13,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-14,Synthetic,Sample
14,DOC_000014,AI Concept,AI,General,AI document,Question 14,Answer 14,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-15,Synthetic,Sample
15,DOC_000015,AI Concept,AI,General,AI document,Question 15,Answer 15,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-16,Synthetic,Sample
16,DOC_000016,AI Concept,AI,General,AI document,Question 16,Answer 16,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-17,Synthetic,Sample
17,DOC_000017,AI Concept,AI,General,AI document,Question 17,Answer 17,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-18,Synthetic,Sample
18,DOC_000018,AI Concept,AI,General,AI document,Question 18,Answer 18,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-19,Synthetic,Sample
19,DOC_000019,AI Concept,AI,General,AI document,Question 19,Answer 19,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-20,Synthetic,Sample
20,DOC_000020,AI Concept,AI,General,AI document,Question 20,Answer 20,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-21,Synthetic,Sample
21,DOC_000021,AI Concept,AI,General,AI document,Question 21,Answer 21,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-22,Synthetic,Sample
